key,title,arxiv_id,status,text_file_count,tex_file_count,bytes_written,source_dir,error
estimating-individual-treatment-effects-with-time-varying-confounders,Estimating Individual Treatment Effects with Time-Varying Confounders,2008.13620,extracted,10,8,425518,tex_sources/extracted/2008.13620,
causal-inference-of-general-treatment-effects-using-neural-networks-with,Causal Inference of General Treatment Effects using Neural Networks with A Diverging Number of Confounders,2009.07055,extracted,6,1,513479,tex_sources/extracted/2009.07055,
learning-deep-features-in-instrumental-variable-regression,Learning Deep Features in Instrumental Variable Regression,2010.07154,extracted,58,53,240021,tex_sources/extracted/2010.07154,
deep-learning-for-individual-heterogeneity,Deep Learning for Individual Heterogeneity,2010.14694,extracted,5,4,283746,tex_sources/extracted/2010.14694,
adapting-neural-networks-for-uplift-models,Adapting Neural Networks for Uplift Models,2011.00041,extracted,15,8,179621,tex_sources/extracted/2011.00041,
vcnet-and-functional-targeted-regularization-for-learning-causal-effects,VCNet and Functional Targeted Regularization For Learning Causal Effects of Continuous Treatments,2103.07861,extracted,12,7,264196,tex_sources/extracted/2103.07861,
automatic-debiased-machine-learning-via-riesz-regression,Automatic Debiased Machine Learning via Riesz Regression,2104.14737,extracted,48,41,409000,tex_sources/extracted/2104.14737,
a-twin-neural-model-for-uplift,A Twin Neural Model for Uplift,2105.05146,extracted,29,25,626314,tex_sources/extracted/2105.05146,
graph-infomax-adversarial-learning-for-treatment-effect-estimation-with-,Graph Infomax Adversarial Learning for Treatment Effect Estimation with Networked Observational Data,2106.02881,extracted,3,1,253216,tex_sources/extracted/2106.02881,
riesznet-and-forestriesz-automatic-debiased-machine-learning-with-neural,RieszNet and ForestRiesz: Automatic Debiased Machine Learning with Neural Nets and Random Forests,2110.03031,extracted,22,15,197405,tex_sources/extracted/2110.03031,
a-primer-on-deep-learning-for-causal-inference,A Primer on Deep Learning for Causal Inference,2110.04442,extracted,18,14,283572,tex_sources/extracted/2110.04442,
survite-learning-heterogeneous-treatment-effects-from-time-to-event-data,SurvITE: Learning Heterogeneous Treatment Effects from Time-to-Event Data,2110.14001,extracted,5,1,281900,tex_sources/extracted/2110.14001,
bites-balanced-individual-treatment-effect-for-survival-data,BITES: Balanced Individual Treatment Effect for Survival data,2201.03448,extracted,6,4,122391,tex_sources/extracted/2201.03448,
individual-treatment-effect-estimation-through-controlled-neural-network,Individual Treatment Effect Estimation Through Controlled Neural Network Training in Two Stages,2201.08559,extracted,2,1,90763,tex_sources/extracted/2201.08559,
survcaus-representation-balancing-for-survival-causal-inference,SurvCaus : Representation Balancing for Survival Causal Inference,2203.15672,extracted,6,2,117107,tex_sources/extracted/2203.15672,
causal-transformer-for-estimating-counterfactual-outcomes,Causal Transformer for Estimating Counterfactual Outcomes,2204.07258,extracted,15,8,287924,tex_sources/extracted/2204.07258,
scalable-sensitivity-and-uncertainty-analysis-for-causal-effect-estimate,Scalable Sensitivity and Uncertainty Analysis for Causal-Effect Estimates of Continuous-Valued Interventions,2204.10022,extracted,36,29,272579,tex_sources/extracted/2204.10022,
adversarial-estimators,Adversarial Estimators,2204.10495,extracted,3,1,214657,tex_sources/extracted/2204.10495,
learning-disentangled-representations-for-counterfactual-regression-via-,Learning Disentangled Representations for Counterfactual Regression via Mutual Information Minimization,2206.01022,extracted,2,1,46421,tex_sources/extracted/2206.01022,
estimating-counterfactual-treatment-outcomes-over-time-in-complex-multia,Estimating counterfactual treatment outcomes over time in complex multiagent scenarios,2206.01900,extracted,3,2,170452,tex_sources/extracted/2206.01900,
interpretable-deep-causal-learning-for-moderation-effects,Interpretable Deep Causal Learning for Moderation Effects,2206.10261,extracted,20,6,287810,tex_sources/extracted/2206.10261,
learning-causal-effects-on-hypergraphs,Learning Causal Effects on Hypergraphs,2207.04049,extracted,15,10,440275,tex_sources/extracted/2207.04049,
descn-deep-entire-space-cross-networks-for-individual-treatment-effect-e,DESCN: Deep Entire Space Cross Networks for Individual Treatment Effect Estimation,2207.09920,extracted,5,1,303549,tex_sources/extracted/2207.09920,
variational-temporal-deconfounder-for-individualized-treatment-effect-es,Variational Temporal Deconfounder for Individualized Treatment Effect Estimation from Longitudinal Observational Data,2207.11251,pdf-returned,0,0,0,tex_sources/extracted/2207.11251,
estimating-individual-treatment-effects-under-unobserved-confounding-usi,Estimating individual treatment effects under unobserved confounding using binary instruments,2208.08544,extracted,8,1,292306,tex_sources/extracted/2208.08544,
dr-vidal-doubly-robust-variational-information-theoretic-deep-adversaria,DR-VIDAL -- Doubly Robust Variational Information-theoretic Deep Adversarial Learning for Counterfactual Prediction and Treatment Effect Estimation on Real World Data,2303.04201,extracted,4,1,108798,tex_sources/extracted/2303.04201,
dynamic-inter-treatment-information-sharing-for-individualized-treatment,Dynamic Inter-treatment Information Sharing for Individualized Treatment Effects Estimation,2305.15984,extracted,2,1,105074,tex_sources/extracted/2305.15984,
reliable-off-policy-learning-for-dosage-combinations,Reliable Off-Policy Learning for Dosage Combinations,2305.19742,extracted,5,2,755685,tex_sources/extracted/2305.19742,
assisting-clinical-decisions-for-scarcely-available-treatment-via-disent,Assisting Clinical Decisions for Scarcely Available Treatment via Disentangled Latent Representation,2307.03315,extracted,27,23,341971,tex_sources/extracted/2307.03315,
estimating-treatment-effects-under-heterogeneous-interference,Estimating Treatment Effects Under Heterogeneous Interference,2309.13884,extracted,4,1,146575,tex_sources/extracted/2309.13884,
causal-dynamic-variational-autoencoder-for-counterfactual-regression-in-,Causal Dynamic Variational Autoencoder for Counterfactual Regression in Longitudinal Data,2310.10559,extracted,6,2,404100,tex_sources/extracted/2310.10559,
uplift-modeling-based-on-graph-neural-network-combined-with-causal-knowl,Uplift Modeling based on Graph Neural Network Combined with Causal Knowledge,2311.08434,extracted,4,1,144546,tex_sources/extracted/2311.08434,
adversarially-balanced-representation-for-continuous-treatment-effect-es,Adversarially Balanced Representation for Continuous Treatment Effect Estimation,2312.10570,extracted,5,1,146668,tex_sources/extracted/2312.10570,
treatment-aware-hyperbolic-representation-learning-for-causal-effect-est,Treatment-Aware Hyperbolic Representation Learning for Causal Effect Estimation with Social Networks,2401.06557,extracted,6,1,296110,tex_sources/extracted/2401.06557,
causal-graph-ode-continuous-treatment-effect-modeling-in-multi-agent-dyn,Causal Graph ODE: Continuous Treatment Effect Modeling in Multi-agent Dynamical Systems,2403.00178,extracted,11,8,139166,tex_sources/extracted/2403.00178,
regularized-deepiv-with-model-selection,Regularized DeepIV with Model Selection,2403.04236,extracted,23,12,582211,tex_sources/extracted/2403.04236,
graph-neural-network-with-two-uplift-estimators-for-label-scarcity-indiv,Graph Neural Network with Two Uplift Estimators for Label-Scarcity Individual Uplift Modeling,2403.06489,extracted,9,7,195993,tex_sources/extracted/2403.06489,
longitudinal-targeted-minimum-loss-based-estimation-with-temporal-differ,Longitudinal Targeted Minimum Loss-based Estimation with Temporal-Difference Heterogeneous Transformer,2404.04399,extracted,8,1,215601,tex_sources/extracted/2404.04399,
deep-learning-for-causal-inference-a-comparison-of-architectures-for-het,Deep Learning for Causal Inference: A Comparison of Architectures for Heterogeneous Treatment Effect Estimation,2405.03130,extracted,2,1,46072,tex_sources/extracted/2405.03130,
c-learner-constrained-learning-for-causal-inference,C-Learner: Constrained Learning for Causal Inference,2405.09493,extracted,35,27,274095,tex_sources/extracted/2405.09493,
revisiting-counterfactual-regression-through-the-lens-of-gromov-wasserst,Revisiting Counterfactual Regression through the Lens of Gromov-Wasserstein Information Bottleneck,2405.15505,extracted,5,1,275104,tex_sources/extracted/2405.15505,
causal-contrastive-learning-for-counterfactual-regression-over-time,Causal Contrastive Learning for Counterfactual Regression Over Time,2406.00535,extracted,8,2,584957,tex_sources/extracted/2406.00535,
dna-se-towards-deep-neural-nets-assisted-semiparametric-estimation,DNA-SE: Towards Deep Neural-Nets Assisted Semiparametric Estimation,2408.02045,extracted,12,4,884171,tex_sources/extracted/2408.02045,
generalized-encouragement-based-instrumental-variables-for-counterfactua,Generalized Encouragement-Based Instrumental Variables for Counterfactual Regression,2408.05428,extracted,1,1,87422,tex_sources/extracted/2408.05428,
deep-learning-for-the-estimation-of-heterogeneous-parameters-in-discrete,Deep Learning for the Estimation of Heterogeneous Parameters in Discrete Choice Models,2408.09560,extracted,45,1,243120,tex_sources/extracted/2408.09560,
automatic-debiasing-of-neural-networks-via-moment-constrained-learning,Automatic debiasing of neural networks via moment-constrained learning,2409.19777,extracted,4,3,108920,tex_sources/extracted/2409.19777,
semiparametric-counterfactual-regression,Semiparametric Counterfactual Regression,2504.02694,extracted,6,3,178367,tex_sources/extracted/2504.02694,
semiparametric-m-estimation-with-overparameterized-neural-networks,Semiparametric M-estimation with overparameterized neural networks,2504.19089,extracted,5,3,176962,tex_sources/extracted/2504.19089,
extended-fiducial-inference-for-individual-treatment-effects-via-deep-ne,Extended Fiducial Inference for Individual Treatment Effects via Deep Neural Networks,2505.01995,extracted,5,1,735151,tex_sources/extracted/2505.01995,
orthogonality-constrained-deep-instrumental-variable-model-for-causal-ef,Orthogonality-Constrained Deep Instrumental Variable Model for Causal Effect Estimation,2506.02790,pdf-returned,0,0,0,tex_sources/extracted/2506.02790,
targeted-deep-architectures-a-tmle-based-framework-for-robust-causal-inf,Targeted Deep Architectures: A TMLE-Based Framework for Robust Causal Inference in Neural Networks,2507.12435,extracted,3,1,87795,tex_sources/extracted/2507.12435,
causalkans-interpretable-treatment-effect-estimation-with-kolmogorov-arn,CausalKANs: interpretable treatment effect estimation with Kolmogorov-Arnold networks,2509.22467,extracted,18,15,256065,tex_sources/extracted/2509.22467,
gdr-learners-orthogonal-learning-of-generative-models-for-potential-outc,GDR-learners: Orthogonal Learning of Generative Models for Potential Outcomes,2509.22953,extracted,14,9,304488,tex_sources/extracted/2509.22953,
estimating-heterogeneous-treatment-effects-with-survival-outcomes-via-a-,Estimating heterogeneous treatment effects with survival outcomes via a deep survival learner,2604.10398,extracted,4,1,167761,tex_sources/extracted/2604.10398,
causal-epinets-precision-corrected-bounds-on-individual-treatment-effect,Causal EpiNets: Precision-corrected Bounds on Individual Treatment Effects using Epistemic Neural Networks,2605.07065,extracted,3,1,162818,tex_sources/extracted/2605.07065,
balanced-twins-causal-inference-on-time-series-with-hidden-confounding,Balanced Twins: Causal Inference on Time Series with Hidden Confounding,2606.18969,extracted,6,2,160441,tex_sources/extracted/2606.18969,
